MOVIE,GENDER_GUESS,n
Alice Through the Looking Glass_(2016),male,2
Batman v Superman: Dawn of Justice_(2016),female,199
Batman v Superman: Dawn of Justice_(2016),male,766
Captain America: Civil War_(2016),female,560
Captain America: Civil War_(2016),male,1871
Deadpool_(2016),female,266
Deadpool_(2016),male,900
Doctor Strange_(2016),female,5
Doctor Strange_(2016),male,4
Fantastic Beasts and Where to Find Them_(2016),male,1
Finding Dory_(2016),female,100
Finding Dory_(2016),male,284
Hidden Figures_(2016),male,1
Ice Age: Collision Course_(2016),male,1
Independence Day: Resurgence_(2016),female,1
Moana_(I) (2016),female,2
Moana_(I) (2016),male,1
Now You See Me 2_(2016),female,1
Rogue One_(2016),female,499
Rogue One_(2016),male,1443
Sing_(2016),female,1
Sing_(2016),male,1
Suicide Squad_(2016),male,2
The Jungle Book_(2016),female,372
The Jungle Book_(2016),male,1321
The Magnificent Seven_(2016),male,1
The Secret Life of Pets_(2016),female,62
The Secret Life of Pets_(2016),male,231
Zootopia_(2016),female,147
Zootopia_(2016),male,483
