movie,Female:Male Ratio
Alice Through the Looking Glass,0
Batman v Superman: Dawn of Justice,0.25979112
Captain America: Civil War,0.29930518
Deadpool,0.29555556
Doctor Strange,1.25
Fantastic Beasts and Where to Find Them,0
Finding Dory,0.35211268
Hidden Figures,0
Ice Age: Collision Course,0
Independence Day: Resurgence,1
Moana,2
Now You See Me 2,1
Rogue One,0.34580735
Sing,1
Suicide Squad,0
The Jungle Book,0.28160484
The Magnificent Seven,0
The Secret Life of Pets,0.26839827
Zootopia,0.30434783
